Close Price,Currency,Date,PermID
,JPY,2011-07-21,4295878505
,JPY,2011-07-22,4295878505
,JPY,2011-07-25,4295878505
,JPY,2011-07-26,4295878505
,JPY,2011-07-27,4295878505
,JPY,2011-07-28,4295878505
,JPY,2011-07-29,4295878505
,JPY,2011-08-01,4295878505
,JPY,2011-08-02,4295878505
,JPY,2011-08-03,4295878505
,JPY,2011-08-04,4295878505
,JPY,2011-08-05,4295878505
,JPY,2011-08-08,4295878505
,JPY,2011-08-09,4295878505
,JPY,2011-08-10,4295878505
,JPY,2011-08-11,4295878505
,JPY,2011-08-12,4295878505
,JPY,2011-08-15,4295878505
,JPY,2011-08-16,4295878505
,JPY,2011-08-17,4295878505
,JPY,2011-08-18,4295878505
,JPY,2011-08-19,4295878505
,JPY,2011-08-22,4295878505
,JPY,2011-08-23,4295878505
,JPY,2011-08-24,4295878505
,JPY,2011-08-25,4295878505
,JPY,2011-08-26,4295878505
,JPY,2011-08-29,4295878505
,JPY,2011-08-30,4295878505
,JPY,2011-08-31,4295878505
,JPY,2011-09-01,4295878505
,JPY,2011-09-02,4295878505
,JPY,2011-09-05,4295878505
,JPY,2011-09-06,4295878505
,JPY,2011-09-07,4295878505
,JPY,2011-09-08,4295878505
,JPY,2011-09-09,4295878505
,JPY,2011-09-12,4295878505
,JPY,2011-09-13,4295878505
,JPY,2011-09-14,4295878505
,JPY,2011-09-15,4295878505
,JPY,2011-09-16,4295878505
,JPY,2011-09-20,4295878505
,JPY,2011-09-21,4295878505
,JPY,2011-09-22,4295878505
,JPY,2011-09-26,4295878505
,JPY,2011-09-27,4295878505
,JPY,2011-09-28,4295878505
,JPY,2011-09-29,4295878505
,JPY,2011-09-30,4295878505
,JPY,2011-10-03,4295878505
,JPY,2011-10-04,4295878505
,JPY,2011-10-05,4295878505
,JPY,2011-10-06,4295878505
,JPY,2011-10-07,4295878505
,JPY,2011-10-11,4295878505
,JPY,2011-10-12,4295878505
,JPY,2011-10-13,4295878505
,JPY,2011-10-14,4295878505
,JPY,2011-10-17,4295878505
,JPY,2011-10-18,4295878505
,JPY,2011-10-19,4295878505
,JPY,2011-10-20,4295878505
,JPY,2011-10-21,4295878505
,JPY,2011-10-24,4295878505
,JPY,2011-10-25,4295878505
,JPY,2011-10-26,4295878505
,JPY,2011-10-27,4295878505
,JPY,2011-10-28,4295878505
,JPY,2011-10-31,4295878505
,JPY,2011-11-01,4295878505
,JPY,2011-11-02,4295878505
,JPY,2011-11-04,4295878505
,JPY,2011-11-07,4295878505
,JPY,2011-11-08,4295878505
,JPY,2011-11-09,4295878505
,JPY,2011-11-10,4295878505
,JPY,2011-11-11,4295878505
,JPY,2011-11-14,4295878505
,JPY,2011-11-15,4295878505
,JPY,2011-11-16,4295878505
,JPY,2011-11-17,4295878505
,JPY,2011-11-18,4295878505
,JPY,2011-11-21,4295878505
,JPY,2011-11-22,4295878505
,JPY,2011-11-24,4295878505
,JPY,2011-11-25,4295878505
,JPY,2011-11-28,4295878505
,JPY,2011-11-29,4295878505
,JPY,2011-11-30,4295878505
,JPY,2011-12-01,4295878505
,JPY,2011-12-02,4295878505
,JPY,2011-12-05,4295878505
,JPY,2011-12-06,4295878505
,JPY,2011-12-07,4295878505
,JPY,2011-12-08,4295878505
,JPY,2011-12-09,4295878505
,JPY,2011-12-12,4295878505
,JPY,2011-12-13,4295878505
,JPY,2011-12-14,4295878505
,JPY,2011-12-15,4295878505
,JPY,2011-12-16,4295878505
,JPY,2011-12-19,4295878505
,JPY,2011-12-20,4295878505
,JPY,2011-12-21,4295878505
,JPY,2011-12-22,4295878505
,JPY,2011-12-26,4295878505
,JPY,2011-12-27,4295878505
,JPY,2011-12-28,4295878505
,JPY,2011-12-29,4295878505
,JPY,2011-12-30,4295878505
,JPY,2012-01-04,4295878505
,JPY,2012-01-05,4295878505
,JPY,2012-01-06,4295878505
,JPY,2012-01-10,4295878505
,JPY,2012-01-11,4295878505
,JPY,2012-01-12,4295878505
,JPY,2012-01-13,4295878505
,JPY,2012-01-16,4295878505
,JPY,2012-01-17,4295878505
,JPY,2012-01-18,4295878505
,JPY,2012-01-19,4295878505
